IDSIM	TGBD	TGKT
S03	19/12/2016 09:49:43	19/12/2016 15:25:43
S05	22/12/2016 00:09:43	22/12/2016 03:41:43
S08	24/12/2016 10:47:43	25/12/2016 00:33:43
S05	26/12/2016 18:56:43	27/12/2016 17:27:43
S09	29/12/2016 06:56:43	29/12/2016 08:12:43
S07	29/12/2016 15:57:43	30/12/2016 06:01:43
S06	30/12/2016 16:00:43	31/12/2016 15:07:43
S03	31/12/2016 22:02:43	31/12/2016 22:42:43
S06	03/01/2017 17:11:43	04/01/2017 00:39:43
S21	06/01/2017 07:02:43	06/01/2017 20:42:43
S02	08/01/2017 03:56:43	08/01/2017 13:29:43
S01	10/01/2017 02:04:43	10/01/2017 03:35:43
S06	11/01/2017 07:53:43	12/01/2017 04:28:43
S06	11/01/2017 21:33:43	12/01/2017 03:43:43
S05	12/01/2017 09:25:43	13/01/2017 05:42:43
S06	13/01/2017 07:46:43	14/01/2017 07:36:43
S21	15/01/2017 23:32:43	16/01/2017 23:09:43
S04	18/01/2017 13:39:43	19/01/2017 05:57:43
S08	19/01/2017 21:17:43	20/01/2017 02:31:43
S04	22/01/2017 13:12:43	22/01/2017 19:45:43
S02	23/01/2017 19:50:43	24/01/2017 13:50:43
S02	24/01/2017 10:00:43	24/01/2017 15:43:43
S04	26/01/2017 02:37:43	26/01/2017 14:33:43
S08	26/01/2017 05:21:43	26/01/2017 16:32:43
S07	27/01/2017 20:40:43	27/01/2017 21:28:43
S05	30/01/2017 08:36:43	31/01/2017 06:18:43
S06	31/01/2017 06:02:43	31/01/2017 21:37:43
S04	02/02/2017 04:40:43	02/02/2017 10:47:43
S01	02/02/2017 23:01:43	03/02/2017 22:32:43
S04	03/02/2017 08:43:43	03/02/2017 18:25:43
S07	04/02/2017 21:21:43	05/02/2017 14:03:43
S09	05/02/2017 08:06:43	05/02/2017 18:20:43
S05	06/02/2017 12:37:43	06/02/2017 15:07:43
S02	07/02/2017 09:17:43	07/02/2017 09:49:43
S05	08/02/2017 22:53:43	09/02/2017 17:44:43
S07	09/02/2017 08:44:43	10/02/2017 01:21:43
S08	11/02/2017 12:01:43	12/02/2017 06:36:43
S21	11/02/2017 20:00:43	12/02/2017 03:29:43
S07	13/02/2017 19:58:43	14/02/2017 11:04:43
S08	16/02/2017 19:25:43	17/02/2017 15:46:43
S01	18/02/2017 16:47:43	19/02/2017 10:12:43
S02	21/02/2017 02:35:43	21/02/2017 20:18:43
S06	22/02/2017 09:50:43	23/02/2017 07:17:43
S05	22/02/2017 22:32:43	23/02/2017 03:01:43
